week,channels,notification_count
2023-01-01 00:00:00+0000,email,473521
2023-01-08 00:00:00+0000,email,473521
2023-01-15 00:00:00+0000,email,473521
2023-01-22 00:00:00+0000,email,473521
2023-01-29 00:00:00+0000,email,473521
2023-01-01 00:00:00+0000,sms,32599
2023-01-08 00:00:00+0000,sms,32599
2023-01-15 00:00:00+0000,sms,32599
2023-01-22 00:00:00+0000,sms,32599
2023-01-29 00:00:00+0000,sms,32599
2023-01-01 00:00:00+0000,whatsapp,98129
2023-01-08 00:00:00+0000,whatsapp,98129
2023-01-15 00:00:00+0000,whatsapp,98129
2023-01-22 00:00:00+0000,whatsapp,98129
2023-01-29 00:00:00+0000,whatsapp,98129
2023-02-05 00:00:00+0000,email,816571
2023-02-12 00:00:00+0000,email,816571
2023-02-19 00:00:00+0000,email,816571
2023-02-26 00:00:00+0000,email,816571
2023-02-05 00:00:00+0000,sms,30230
2023-02-12 00:00:00+0000,sms,30230
2023-02-19 00:00:00+0000,sms,30230
2023-02-26 00:00:00+0000,sms,30230
2023-02-05 00:00:00+0000,whatsapp,111417
2023-02-12 00:00:00+0000,whatsapp,111417
2023-02-19 00:00:00+0000,whatsapp,111417
2023-02-26 00:00:00+0000,whatsapp,111417
2023-03-05 00:00:00+0000,email,783169
2023-03-12 00:00:00+0000,email,783169
2023-03-19 00:00:00+0000,email,783169
2023-03-26 00:00:00+0000,email,783169
2023-03-05 00:00:00+0000,sms,54970
2023-03-12 00:00:00+0000,sms,54970
2023-03-19 00:00:00+0000,sms,54970
2023-03-26 00:00:00+0000,sms,54970
2023-03-05 00:00:00+0000,whatsapp,285328
2023-03-12 00:00:00+0000,whatsapp,285328
2023-03-19 00:00:00+0000,whatsapp,285328
2023-03-26 00:00:00+0000,whatsapp,285328
2023-04-02 00:00:00+0000,email,581958
2023-04-09 00:00:00+0000,email,581958
2023-04-16 00:00:00+0000,email,581958
2023-04-23 00:00:00+0000,email,581958
2023-04-30 00:00:00+0000,email,581958
2023-04-02 00:00:00+0000,sms,83470
2023-04-09 00:00:00+0000,sms,83470
2023-04-16 00:00:00+0000,sms,83470
2023-04-23 00:00:00+0000,sms,83470
2023-04-30 00:00:00+0000,sms,83470
2023-04-02 00:00:00+0000,whatsapp,338473
2023-04-09 00:00:00+0000,whatsapp,338473
2023-04-16 00:00:00+0000,whatsapp,338473
2023-04-23 00:00:00+0000,whatsapp,338473
2023-04-30 00:00:00+0000,whatsapp,338473
2023-05-07 00:00:00+0000,email,746562
2023-05-14 00:00:00+0000,email,746562
2023-05-21 00:00:00+0000,email,746562
2023-05-28 00:00:00+0000,email,746562
2023-05-07 00:00:00+0000,sms,111329
2023-05-14 00:00:00+0000,sms,111329
2023-05-21 00:00:00+0000,sms,111329
2023-05-28 00:00:00+0000,sms,111329
2023-05-07 00:00:00+0000,whatsapp,332828
2023-05-14 00:00:00+0000,whatsapp,332828
2023-05-21 00:00:00+0000,whatsapp,332828
2023-05-28 00:00:00+0000,whatsapp,332828
2023-06-04 00:00:00+0000,email,423665
2023-06-11 00:00:00+0000,email,423665
2023-06-18 00:00:00+0000,email,423665
2023-06-25 00:00:00+0000,email,423665
2023-06-04 00:00:00+0000,sms,95078
2023-06-11 00:00:00+0000,sms,95078
2023-06-18 00:00:00+0000,sms,95078
2023-06-25 00:00:00+0000,sms,95078
2023-06-04 00:00:00+0000,whatsapp,422924
2023-06-11 00:00:00+0000,whatsapp,422924
2023-06-18 00:00:00+0000,whatsapp,422924
2023-06-25 00:00:00+0000,whatsapp,422924
2023-07-02 00:00:00+0000,email,398047
2023-07-09 00:00:00+0000,email,398047
2023-07-16 00:00:00+0000,email,398047
2023-07-23 00:00:00+0000,email,398047
2023-07-30 00:00:00+0000,email,398047
2023-07-02 00:00:00+0000,sms,113333
2023-07-09 00:00:00+0000,sms,113333
2023-07-16 00:00:00+0000,sms,113333
2023-07-23 00:00:00+0000,sms,113333
2023-07-30 00:00:00+0000,sms,113333
2023-07-02 00:00:00+0000,whatsapp,526575
2023-07-09 00:00:00+0000,whatsapp,526575
2023-07-16 00:00:00+0000,whatsapp,526575
2023-07-23 00:00:00+0000,whatsapp,526575
2023-07-30 00:00:00+0000,whatsapp,526575
2023-08-06 00:00:00+0000,email,866589
2023-08-13 00:00:00+0000,email,866589
2023-08-20 00:00:00+0000,email,866589
2023-08-27 00:00:00+0000,email,866589
2023-08-06 00:00:00+0000,sms,148125
2023-08-13 00:00:00+0000,sms,148125
2023-08-20 00:00:00+0000,sms,148125
2023-08-27 00:00:00+0000,sms,148125
2023-08-06 00:00:00+0000,whatsapp,898229
2023-08-13 00:00:00+0000,whatsapp,898229
2023-08-20 00:00:00+0000,whatsapp,898229
2023-08-27 00:00:00+0000,whatsapp,898229
2023-09-03 00:00:00+0000,email,710066
2023-09-10 00:00:00+0000,email,710066
2023-09-17 00:00:00+0000,email,710066
2023-09-24 00:00:00+0000,email,710066
2023-10-01 00:00:00+0000,email,710066
2023-09-03 00:00:00+0000,sms,231794
2023-09-10 00:00:00+0000,sms,231794
2023-09-17 00:00:00+0000,sms,231794
2023-09-24 00:00:00+0000,sms,231794
2023-10-01 00:00:00+0000,sms,231794
2023-09-03 00:00:00+0000,whatsapp,708362
2023-09-10 00:00:00+0000,whatsapp,708362
2023-09-17 00:00:00+0000,whatsapp,708362
2023-09-24 00:00:00+0000,whatsapp,708362
2023-10-01 00:00:00+0000,whatsapp,708362
2023-10-01 00:00:00+0000,email,693583
2023-10-08 00:00:00+0000,email,693583
2023-10-15 00:00:00+0000,email,693583
2023-10-22 00:00:00+0000,email,693583
2023-10-29 00:00:00+0000,email,693583
2023-10-01 00:00:00+0000,push,136742
2023-10-08 00:00:00+0000,push,136742
2023-10-15 00:00:00+0000,push,136742
2023-10-22 00:00:00+0000,push,136742
2023-10-29 00:00:00+0000,push,136742
2023-10-01 00:00:00+0000,sms,187259
2023-10-08 00:00:00+0000,sms,187259
2023-10-15 00:00:00+0000,sms,187259
2023-10-22 00:00:00+0000,sms,187259
2023-10-29 00:00:00+0000,sms,187259
2023-10-01 00:00:00+0000,whatsapp,964151
2023-10-08 00:00:00+0000,whatsapp,964151
2023-10-15 00:00:00+0000,whatsapp,964151
2023-10-22 00:00:00+0000,whatsapp,964151
2023-10-29 00:00:00+0000,whatsapp,964151
2023-11-05 00:00:00+0000,email,2415669
2023-11-12 00:00:00+0000,email,2415669
2023-11-19 00:00:00+0000,email,2415669
2023-11-26 00:00:00+0000,email,2415669
2023-11-05 00:00:00+0000,push,1562350
2023-11-12 00:00:00+0000,push,1562350
2023-11-19 00:00:00+0000,push,1562350
2023-11-26 00:00:00+0000,push,1562350
2023-11-05 00:00:00+0000,sms,232845
2023-11-12 00:00:00+0000,sms,232845
2023-11-19 00:00:00+0000,sms,232845
2023-11-26 00:00:00+0000,sms,232845
2023-11-05 00:00:00+0000,whatsapp,1706468
2023-11-12 00:00:00+0000,whatsapp,1706468
2023-11-19 00:00:00+0000,whatsapp,1706468
2023-11-26 00:00:00+0000,whatsapp,1706468
2023-12-03 00:00:00+0000,email,651026
2023-12-10 00:00:00+0000,email,651026
2023-12-17 00:00:00+0000,email,651026
2023-12-24 00:00:00+0000,email,651026
2023-12-31 00:00:00+0000,email,651026
2023-12-03 00:00:00+0000,push,1761656
2023-12-10 00:00:00+0000,push,1761656
2023-12-17 00:00:00+0000,push,1761656
2023-12-24 00:00:00+0000,push,1761656
2023-12-31 00:00:00+0000,push,1761656
2023-12-03 00:00:00+0000,sms,220345
2023-12-10 00:00:00+0000,sms,220345
2023-12-17 00:00:00+0000,sms,220345
2023-12-24 00:00:00+0000,sms,220345
2023-12-31 00:00:00+0000,sms,220345
2023-12-03 00:00:00+0000,whatsapp,1400280
2023-12-10 00:00:00+0000,whatsapp,1400280
2023-12-17 00:00:00+0000,whatsapp,1400280
2023-12-24 00:00:00+0000,whatsapp,1400280
2023-12-31 00:00:00+0000,whatsapp,1400280
2024-01-07 00:00:00+0000,email,2146123
2024-01-14 00:00:00+0000,email,2146123
2024-01-21 00:00:00+0000,email,2146123
2024-01-28 00:00:00+0000,email,2146123
2024-01-07 00:00:00+0000,push,2127591
2024-01-14 00:00:00+0000,push,2127591
2024-01-21 00:00:00+0000,push,2127591
2024-01-28 00:00:00+0000,push,2127591
2024-01-07 00:00:00+0000,sms,312210
2024-01-14 00:00:00+0000,sms,312210
2024-01-21 00:00:00+0000,sms,312210
2024-01-28 00:00:00+0000,sms,312210
2024-01-07 00:00:00+0000,whatsapp,1985395
2024-01-14 00:00:00+0000,whatsapp,1985395
2024-01-21 00:00:00+0000,whatsapp,1985395
2024-01-28 00:00:00+0000,whatsapp,1985395
2024-02-04 00:00:00+0000,email,4767817
2024-02-11 00:00:00+0000,email,4767817
2024-02-18 00:00:00+0000,email,4767817
2024-02-25 00:00:00+0000,email,4767817
2024-02-04 00:00:00+0000,push,2174205
2024-02-11 00:00:00+0000,push,2174205
2024-02-18 00:00:00+0000,push,2174205
2024-02-25 00:00:00+0000,push,2174205
2024-02-04 00:00:00+0000,sms,303671
2024-02-11 00:00:00+0000,sms,303671
2024-02-18 00:00:00+0000,sms,303671
2024-02-25 00:00:00+0000,sms,303671
2024-02-04 00:00:00+0000,whatsapp,1841039
2024-02-11 00:00:00+0000,whatsapp,1841039
2024-02-18 00:00:00+0000,whatsapp,1841039
2024-02-25 00:00:00+0000,whatsapp,1841039
2024-03-03 00:00:00+0000,email,2024992
2024-03-10 00:00:00+0000,email,2024992
2024-03-17 00:00:00+0000,email,2024992
2024-03-24 00:00:00+0000,email,2024992
2024-03-31 00:00:00+0000,email,2024992
2024-03-03 00:00:00+0000,push,1989118
2024-03-10 00:00:00+0000,push,1989118
2024-03-17 00:00:00+0000,push,1989118
2024-03-24 00:00:00+0000,push,1989118
