month,channels,notification_count
2023-01-01 00:00:00+00:00,email,2367607
2023-01-01 00:00:00+00:00,sms,162998
2023-01-01 00:00:00+00:00,whatsapp,490649
2023-02-01 00:00:00+00:00,email,3266284
2023-02-01 00:00:00+00:00,sms,120920
2023-02-01 00:00:00+00:00,whatsapp,445671
2023-03-01 00:00:00+00:00,email,3132677
2023-03-01 00:00:00+00:00,sms,219881
2023-03-01 00:00:00+00:00,whatsapp,1141313
2023-04-01 00:00:00+00:00,email,2909794
2023-04-01 00:00:00+00:00,sms,417350
2023-04-01 00:00:00+00:00,whatsapp,1692368
2023-05-01 00:00:00+00:00,email,2986250
2023-05-01 00:00:00+00:00,sms,445317
2023-05-01 00:00:00+00:00,whatsapp,1331314
2023-06-01 00:00:00+00:00,email,1694662
2023-06-01 00:00:00+00:00,sms,380315
2023-06-01 00:00:00+00:00,whatsapp,1691697
2023-07-01 00:00:00+00:00,email,1990239
2023-07-01 00:00:00+00:00,sms,566668
2023-07-01 00:00:00+00:00,whatsapp,2632875
2023-08-01 00:00:00+00:00,email,3466359
2023-08-01 00:00:00+00:00,sms,592502
2023-08-01 00:00:00+00:00,whatsapp,3592917
2023-09-01 00:00:00+00:00,email,3550334
2023-09-01 00:00:00+00:00,sms,1158970
2023-09-01 00:00:00+00:00,whatsapp,3541812
2023-10-01 00:00:00+00:00,email,3467915
2023-10-01 00:00:00+00:00,push,683713
2023-10-01 00:00:00+00:00,sms,936298
2023-10-01 00:00:00+00:00,whatsapp,4820759
2023-11-01 00:00:00+00:00,email,9662678
2023-11-01 00:00:00+00:00,push,6249401
2023-11-01 00:00:00+00:00,sms,931381
2023-11-01 00:00:00+00:00,whatsapp,6825873
2023-12-01 00:00:00+00:00,email,3255130
2023-12-01 00:00:00+00:00,push,8808281
2023-12-01 00:00:00+00:00,sms,1101729
2023-12-01 00:00:00+00:00,whatsapp,7001403
2024-01-01 00:00:00+00:00,email,8584494
2024-01-01 00:00:00+00:00,push,8510365
2024-01-01 00:00:00+00:00,sms,1248843
2024-01-01 00:00:00+00:00,whatsapp,7941582
2024-02-01 00:00:00+00:00,email,19071269
2024-02-01 00:00:00+00:00,push,8696820
2024-02-01 00:00:00+00:00,sms,1214687
2024-02-01 00:00:00+00:00,whatsapp,7364158
2024-03-01 00:00:00+00:00,email,10124962
2024-03-01 00:00:00+00:00,push,9945594
2024-03-01 00:00:00+00:00,sms,1193011
2024-03-01 00:00:00+00:00,whatsapp,7048627
2024-04-01 00:00:00+00:00,email,16255596
2024-04-01 00:00:00+00:00,push,13332677
2024-04-01 00:00:00+00:00,sms,680214
2024-04-01 00:00:00+00:00,whatsapp,7757658
2024-05-01 00:00:00+00:00,email,3836233
2024-05-01 00:00:00+00:00,push,14548345
2024-05-01 00:00:00+00:00,sms,624544
2024-05-01 00:00:00+00:00,whatsapp,9255163
2024-06-01 00:00:00+00:00,email,4461891
2024-06-01 00:00:00+00:00,push,14310501
2024-06-01 00:00:00+00:00,sms,550821
2024-06-01 00:00:00+00:00,whatsapp,8805816
2024-07-01 00:00:00+00:00,email,6632822
2024-07-01 00:00:00+00:00,push,18412629
2024-07-01 00:00:00+00:00,sms,455233
2024-07-01 00:00:00+00:00,whatsapp,8690838
2024-08-01 00:00:00+00:00,email,10969110
2024-08-01 00:00:00+00:00,push,33592958
2024-08-01 00:00:00+00:00,sms,315233
2024-08-01 00:00:00+00:00,whatsapp,9813180
2024-09-01 00:00:00+00:00,email,65134509
2024-09-01 00:00:00+00:00,push,43489071
2024-09-01 00:00:00+00:00,sms,231658
2024-09-01 00:00:00+00:00,whatsapp,7826182
2024-10-01 00:00:00+00:00,email,60338867
2024-10-01 00:00:00+00:00,push,48274886
2024-10-01 00:00:00+00:00,sms,259569
2024-10-01 00:00:00+00:00,whatsapp,7774829
2024-11-01 00:00:00+00:00,email,43601976
2024-11-01 00:00:00+00:00,push,52526574
2024-11-01 00:00:00+00:00,sms,286721
2024-11-01 00:00:00+00:00,whatsapp,8637917
2024-12-01 00:00:00+00:00,email,35634662
2024-12-01 00:00:00+00:00,push,46306710
2024-12-01 00:00:00+00:00,sms,247529
2024-12-01 00:00:00+00:00,whatsapp,5669899
